Tamanho,TempoConstrucao(ms),BuscaExistente(ns),BuscaInexistente(ns),RemocaoExistente(ns),RemocaoInexistente(ns)
10000,10,405,205,2208,903
10000,8,312,228,2019,1004
10000,10,332,292,1931,890
10000,13,478,197,2500,863
10000,8,304,198,2014,842
10000,10,520,212,2487,824
10000,8,434,186,2010,1010
10000,12,574,250,2343,1227
10000,10,355,511,2472,1093
10000,8,356,217,2044,890
10000,8,389,201,1637,956
10000,8,358,202,2251,888
10000,9,364,281,2218,838
10000,8,455,351,2454,1097
10000,9,416,217,1942,887
10000,8,369,282,1950,787
10000,8,395,386,2060,1119
10000,8,368,199,1922,928
10000,10,436,267,2080,971
10000,8,330,210,1693,937
10000,8,386,157,1747,796
10000,8,385,189,2209,831
10000,9,392,219,1981,737
10000,8,430,242,1979,1088
10000,8,470,205,2206,849
10000,8,383,201,2087,837
10000,9,390,204,2664,1018
10000,16,576,460,2370,1105
10000,12,494,290,2819,1423
10000,11,402,206,2086,897
10000,9,266,191,2171,849
10000,8,345,193,2106,882
10000,8,252,217,1872,968
10000,8,344,191,2026,968
10000,8,340,238,1863,1057
10000,8,310,170,2068,827
10000,8,207,192,2188,803
10000,8,392,211,1709,743
10000,8,306,184,1405,4765
10000,8,301,246,1525,894
10000,8,344,192,2119,838
10000,8,284,185,1987,815
10000,8,313,190,1380,870
10000,8,256,173,1356,905
10000,8,285,173,2157,701
10000,8,322,193,1454,891
10000,8,348,237,2150,716
10000,11,301,217,1812,994
10000,8,295,247,1486,811
10000,9,435,217,2106,982
