tamanho,TempoConstrucao(ms),BuscaExistente(ns),BuscaInexistente(ns),RemocaoExistente(ns),RemocaoInexistente(ns)
1000,239,236,125,4706,189
1000,177,135,130,308,161
1000,179,145,99,250,123
1000,179,139,107,272,125
1000,187,173,97,318,86
1000,202,153,103,316,100
1000,181,130,98,295,104
1000,188,154,85,218,102
1000,203,157,91,290,93
1000,177,149,97,267,92
1000,181,139,88,373,84
1000,178,185,77,318,81
1000,176,128,99,236,104
1000,179,130,97,280,85
1000,179,130,91,321,144
1000,179,142,110,276,128
1000,177,108,127,316,97
1000,178,137,99,234,161
1000,186,134,106,343,104
1000,193,163,87,227,92
1000,186,144,96,299,102
1000,180,140,92,246,79
1000,183,138,97,261,118
1000,177,146,100,245,83
1000,179,189,85,248,114
1000,185,128,91,238,89
1000,178,149,114,309,81
1000,177,125,87,241,74
1000,179,162,87,264,133
1000,175,157,101,337,122
1000,179,153,89,251,105
1000,188,140,85,324,84
1000,184,172,82,231,102
1000,185,137,91,230,92
1000,183,178,102,250,89
1000,187,159,81,239,94
1000,189,103,88,267,90
1000,177,125,121,269,109
1000,183,140,84,214,86
1000,176,146,96,283,112
1000,178,129,100,214,112
1000,180,130,81,281,82
1000,176,105,89,351,97
1000,180,154,81,207,91
1000,181,167,85,244,92
1000,176,146,113,291,108
1000,181,159,87,265,87
1000,176,94,85,292,93
1000,186,116,88,203,85
1000,199,154,87,574,101
10000,2,308,149,1575,181
10000,2,264,146,814,156
10000,2,559,413,1977,192
10000,2,218,153,809,136
10000,2,277,141,954,203
10000,2,233,130,876,127
10000,2,395,207,1571,127
10000,2,251,144,933,149
10000,2,396,214,1600,191
10000,2,355,218,1290,178
10000,2,301,170,1540,157
10000,2,352,172,1475,183
10000,2,306,168,2126,187
10000,2,202,146,1563,159
10000,2,277,150,1592,283
10000,2,297,155,1073,198
10000,2,194,144,1460,194
10000,2,248,168,1455,136
10000,2,218,136,1305,163
10000,2,222,152,1114,151
10000,2,308,128,978,140
10000,2,293,144,982,169
10000,2,349,121,887,128
10000,2,277,135,761,150
10000,2,327,175,1543,199
10000,2,238,140,1302,178
10000,2,202,170,1503,204
10000,2,336,152,1181,188
