Tamanho,TempoConstrucao(ms),BuscaExistente(ns),BuscaInexistente(ns),RemocaoExistente(ns),RemocaoInexistente(ns)
1000,239,236,125,4706,189
1000,177,135,130,308,161
1000,179,145,99,250,123
1000,179,139,107,272,125
1000,187,173,97,318,86
1000,202,153,103,316,100
1000,181,130,98,295,104
1000,188,154,85,218,102
1000,203,157,91,290,93
1000,177,149,97,267,92
1000,181,139,88,373,84
1000,178,185,77,318,81
1000,176,128,99,236,104
1000,179,130,97,280,85
1000,179,130,91,321,144
1000,179,142,110,276,128
1000,177,108,127,316,97
1000,178,137,99,234,161
1000,186,134,106,343,104
1000,193,163,87,227,92
1000,186,144,96,299,102
1000,180,140,92,246,79
1000,183,138,97,261,118
1000,177,146,100,245,83
1000,179,189,85,248,114
1000,185,128,91,238,89
1000,178,149,114,309,81
1000,177,125,87,241,74
1000,179,162,87,264,133
1000,175,157,101,337,122
1000,179,153,89,251,105
1000,188,140,85,324,84
1000,184,172,82,231,102
1000,185,137,91,230,92
1000,183,178,102,250,89
1000,187,159,81,239,94
1000,189,103,88,267,90
1000,177,125,121,269,109
1000,183,140,84,214,86
1000,176,146,96,283,112
1000,178,129,100,214,112
1000,180,130,81,281,82
1000,176,105,89,351,97
1000,180,154,81,207,91
1000,181,167,85,244,92
1000,176,146,113,291,108
1000,181,159,87,265,87
1000,176,94,85,292,93
1000,186,116,88,203,85
1000,199,154,87,574,101
